Permutation Chi-Sq km10__FREE km11__FREE km12__FREE km13__FREE km14__FREE km15__FREE km16__FREE km17__FREE km18__FREE km19__FREE km1__FREE km20__FREE km21__FREE km22__FREE km23__FREE km24__FREE km2__FREE km3__FREE km9__FREE kp10__FREE kp11__FREE kp12__FREE kp13__FREE kp14__FREE kp15__FREE kp17__FREE kp18__FREE kp19__FREE kp1__FREE kp20__FREE kp21__FREE kp22__FREE kp23__FREE kp24__FREE kp2__FREE kp3__FREE kp9__FREE
gen1554perm46 0.2785118728915985 5.32639689e-02 1.31771448e-02 1.62880504e-01 1.63226108e-01 1.02017610e-01 1.17776754e-01 3.07136995e-03 6.23816764e-02 2.13748258e+00 8.78289595e-02 5.50742590e-03 3.96149827e-02 2.63469745e-01 8.07004933e-01 6.08602369e-03 1.32424850e-03 2.99032383e-01 7.09272344e-01 2.01051543e+01 9.02975532e-07 3.24102006e-05 3.02654333e-08 1.04608133e-04 3.45315271e+00 2.36778912e-08 3.31535292e-06 1.61948243e-08 5.45053320e-07 9.74028910e-05 9.06455469e-09 8.14691052e-08 1.46196393e-08 3.47819934e-06 4.26897182e-04 1.60371158e-05 9.21049661e-02 1.01160066e-08
gen1554perm134 0.2785731482168326 5.32639689e-02 1.15562615e-02 1.69490686e-01 1.46918883e-01 1.12017929e-01 1.21333416e-01 3.04429595e-03 7.01576616e-02 2.57457091e+00 8.70422477e-02 4.77501265e-03 3.78494460e-02 2.56510791e-01 8.56869962e-01 8.08842634e-03 1.40521039e-03 2.97757680e-01 7.09272344e-01 2.10126245e+01 9.45159004e-07 3.24102006e-05 3.02749672e-08 1.00513616e-04 2.98341532e+00 2.42965952e-08 3.31535292e-06 1.94497980e-08 5.13915521e-07 9.54339429e-05 1.08325997e-08 6.95737032e-08 1.16175246e-08 3.72148321e-06 4.72161874e-04 1.60371158e-05 9.21049661e-02 1.21545106e-08
gen1554perm127 0.2788177417674466 5.32639689e-02 1.19988721e-02 1.67365976e-01 1.65441853e-01 1.05254856e-01 1.15096069e-01 3.02577367e-03 6.84325380e-02 2.39107119e+00 8.78289595e-02 4.97019492e-03 3.78494460e-02 2.63469745e-01 8.56869962e-01 7.68055349e-03 1.42476587e-03 2.97757680e-01 7.11045011e-01 2.22034814e+01 1.17705544e-06 3.24102006e-05 3.02654333e-08 1.01861744e-04 3.22515409e+00 2.47197845e-08 3.35984858e-06 1.75124497e-08 5.13915521e-07 1.14886347e-04 1.06940793e-08 7.61330643e-08 1.06988251e-08 3.57894442e-06 4.51839046e-04 1.61160563e-05 9.21049661e-02 1.12101961e-08
gen1554perm10 0.2789674825109734 5.28218233e-02 1.30192075e-02 1.66044631e-01 1.53619089e-01 9.42125616e-02 1.15038108e-01 3.02577367e-03 6.71577872e-02 2.15967722e+00 8.78289595e-02 5.00297009e-03 3.87889228e-02 2.56510791e-01 9.48832028e-01 7.49569684e-03 1.41020703e-03 2.97757680e-01 7.09603935e-01 2.16630371e+01 1.14803549e-06 3.24102006e-05 3.02654333e-08 9.66390489e-05 3.36466900e+00 2.23993536e-08 3.39194049e-06 1.57830854e-08 5.10989173e-07 1.14886347e-04 1.06940793e-08 8.25288236e-08 9.86022470e-09 3.57894442e-06 4.81442368e-04 1.60595098e-05 9.21049661e-02 1.07810274e-08
gen1554perm41 0.2790778481377786 5.25438953e-02 1.19988721e-02 1.66859106e-01 1.65441853e-01 1.04769758e-01 1.17501071e-01 3.02577367e-03 7.11688960e-02 2.25936955e+00 8.78289595e-02 4.98921493e-03 3.89414949e-02 2.63469745e-01 7.74591171e-01 7.88488223e-03 1.32141341e-03 2.97757680e-01 7.09603935e-01 2.20510178e+01 1.05722487e-06 3.20837815e-05 3.03322810e-08 9.72144805e-05 3.64094851e+00 2.42965952e-08 3.31535292e-06 1.75124497e-08 5.02727198e-07 1.06575221e-04 1.09849961e-08 7.61330643e-08 1.22421527e-08 3.60362337e-06 4.60775912e-04 1.60595098e-05 9.21049661e-02 9.96542542e-09
gen1554perm115 0.2794008068835705 5.32639689e-02 1.30192075e-02 1.64091458e-01 1.52090640e-01 1.14583905e-01 1.17501071e-01 3.02577367e-03 7.00286369e-02 2.15967722e+00 8.86158327e-02 5.45483087e-03 3.87889228e-02 2.78968672e-01 1.09583635e+00 7.88488223e-03 1.32424850e-03 2.97757680e-01 7.09603935e-01 2.23452816e+01 1.15702453e-06 3.24102006e-05 3.02654333e-08 1.12783379e-04 3.22515409e+00 2.37108013e-08 3.31535292e-06 1.75124497e-08 5.10989173e-07 8.09694118e-05 9.06455469e-09 7.30991163e-08 1.22421527e-08 3.57917925e-06 4.81035326e-04 1.60595098e-05 9.21049661e-02 1.12122036e-08
gen1554perm114 0.2799743295471009 5.32639689e-02 1.19988721e-02 1.66044631e-01 1.57171022e-01 1.04769758e-01 1.22910957e-01 3.02577367e-03 6.85428103e-02 2.39107119e+00 8.78289595e-02 5.35296635e-03 3.78494460e-02 2.63469745e-01 8.56869962e-01 6.99973830e-03 1.34889233e-03 2.97860847e-01 7.04106783e-01 1.92772662e+01 1.18892849e-06 3.20837815e-05 3.02654333e-08 9.66390489e-05 3.22515409e+00 2.42965952e-08 3.35984858e-06 1.75124497e-08 5.12024436e-07 1.14886347e-04 1.06940793e-08 7.61330643e-08 1.10390276e-08 3.57917925e-06 4.51839046e-04 1.60595098e-05 9.21049661e-02 1.07517725e-08
gen1554perm61 0.2799887141928108 5.32639689e-02 1.19988721e-02 1.61988924e-01 1.45260270e-01 1.04769758e-01 1.23356885e-01 3.22436190e-03 7.70447518e-02 2.26127576e+00 8.58202763e-02 5.26403831e-03 4.12336067e-02 2.56510791e-01 8.07004933e-01 7.54354518e-03 1.32424850e-03 2.97757680e-01 7.09603935e-01 2.11367928e+01 1.12271391e-06 3.24102006e-05 3.02654333e-08 1.04608133e-04 3.39263558e+00 2.15572936e-08 3.31535292e-06 1.67522917e-08 5.45053320e-07 1.14886347e-04 8.30665743e-09 7.91304993e-08 9.86022470e-09 3.57917925e-06 4.51839046e-04 1.60371158e-05 9.21049661e-02 9.62957476e-09
gen1554perm51 0.2801278690128199 5.32639689e-02 1.30192075e-02 1.67365976e-01 1.93439973e-01 1.07084029e-01 1.23356885e-01 3.02577367e-03 6.56280403e-02 2.13416287e+00 8.78289595e-02 5.26403831e-03 3.87889228e-02 2.56510791e-01 1.07604854e+00 7.92233418e-03 1.26335343e-03 2.99032383e-01 7.09603935e-01 2.16630371e+01 9.19205150e-07 3.24102006e-05 3.02654333e-08 9.49722480e-05 3.05105403e+00 2.13746889e-08 3.35984858e-06 1.82605525e-08 5.10989173e-07 1.14886347e-04 1.11480284e-08 7.76649320e-08 9.86022470e-09 3.57917925e-06 4.68644095e-04 1.60371158e-05 9.21049661e-02 1.01160066e-08
gen1554perm3 0.2803196249438302 5.28218233e-02 1.30192075e-02 1.67365976e-01 1.68421416e-01 1.07084029e-01 1.23356885e-01 3.02577367e-03 8.35611380e-02 2.25266766e+00 8.86158327e-02 5.24544966e-03 3.78494460e-02 2.63469745e-01 1.09583635e+00 6.99973830e-03 1.45148254e-03 2.97757680e-01 7.09272344e-01 2.25599846e+01 1.15702453e-06 3.24102006e-05 3.02654333e-08 1.00513616e-04 2.95780200e+00 2.42965952e-08 3.31535292e-06 1.94497980e-08 5.52311324e-07 8.09694118e-05 8.26091846e-09 7.95744005e-08 1.02416985e-08 3.57917925e-06 4.72161874e-04 1.60371158e-05 9.21049661e-02 1.05299756e-08
