Permutation Chi-Sq km10__FREE km11__FREE km12__FREE km13__FREE km14__FREE km15__FREE km16__FREE km17__FREE km18__FREE km19__FREE km1__FREE km20__FREE km21__FREE km22__FREE km23__FREE km24__FREE km2__FREE km3__FREE km9__FREE kp10__FREE kp11__FREE kp12__FREE kp13__FREE kp14__FREE kp15__FREE kp17__FREE kp18__FREE kp19__FREE kp1__FREE kp20__FREE kp21__FREE kp22__FREE kp23__FREE kp24__FREE kp2__FREE kp3__FREE kp9__FREE
gen1754perm118 1.0573039550804424 9.14932771e-02 2.37842472e-02 8.66787860e-02 1.98170439e+00 1.80809821e-02 4.25109671e-03 2.04797405e+00 1.27124249e-02 6.80370776e-01 1.65329479e-01 7.97465587e+00 5.31339486e+00 7.75749812e-02 8.62600187e-02 7.66507680e+00 1.95918443e-01 4.60647513e-02 4.99486261e+00 6.87443019e+01 2.24962175e-07 1.34539790e-05 2.39790875e-08 3.29032524e-06 2.60230208e-03 3.13076658e-07 3.90987073e-06 2.89683415e-08 5.71235833e-05 1.18643294e-05 2.33628889e-05 1.48689727e-06 4.92504393e-06 1.65522464e-07 8.77126948e-08 6.73733914e-06 5.92576682e-01 6.92575942e-06
gen1754perm23 1.0573064629586320 9.14932771e-02 2.40567496e-02 8.66787860e-02 1.98170439e+00 1.82481803e-02 3.63350977e-03 2.04797405e+00 1.04386311e-02 6.69911869e-01 1.74537055e-01 7.97465587e+00 4.95776859e+00 7.83824815e-02 1.16786227e-01 7.66507680e+00 1.98110093e-01 4.60647513e-02 4.99486261e+00 6.46496314e+01 2.18077068e-07 1.34539790e-05 2.39790875e-08 3.29032524e-06 2.60230208e-03 3.13076658e-07 3.90271245e-06 2.83280399e-08 6.08960314e-05 1.18643294e-05 2.23804057e-05 1.27722267e-06 4.92504393e-06 1.65522464e-07 8.77126948e-08 6.73733914e-06 5.92576682e-01 6.92575942e-06
gen1754perm36 1.0573078356390011 9.14932771e-02 2.39380208e-02 8.66787860e-02 1.98170439e+00 1.76312143e-02 3.97064571e-03 2.04797405e+00 1.03444230e-02 6.22576534e-01 1.65652391e-01 7.97465587e+00 6.18889040e+00 6.86314556e-02 1.16786227e-01 7.68782220e+00 2.11369106e-01 4.60647513e-02 4.99486261e+00 6.46496314e+01 2.12274248e-07 1.34539790e-05 2.39790875e-08 3.29032524e-06 2.64594082e-03 3.26218788e-07 3.76546889e-06 2.35730692e-08 5.99461840e-05 1.18643294e-05 2.65246507e-05 1.22140733e-06 4.92504393e-06 1.73296336e-07 1.01502017e-07 6.73733914e-06 5.92576682e-01 6.71702216e-06
gen1754perm112 1.0573097995908254 9.14932771e-02 2.47890251e-02 8.62088769e-02 1.98170439e+00 1.82481803e-02 3.63350977e-03 1.82971647e+00 1.04386311e-02 7.34798936e-01 1.65652391e-01 7.97465587e+00 4.56173739e+00 9.01467845e-02 1.09536764e-01 6.07937152e+00 1.93797260e-01 4.60647513e-02 4.99486261e+00 6.69340725e+01 2.18077068e-07 1.34539790e-05 2.39790875e-08 3.27971601e-06 2.64594082e-03 3.13076658e-07 3.58044478e-06 2.69785032e-08 5.94359683e-05 1.18643294e-05 2.23804057e-05 1.27722267e-06 5.24011088e-06 1.76390634e-07 8.74658656e-08 6.73733914e-06 5.92576682e-01 7.34180602e-06
gen1754perm129 1.0573125953057838 9.14932771e-02 2.42374146e-02 8.66787860e-02 1.98170439e+00 2.13678740e-02 3.63350977e-03 2.04797405e+00 1.42948768e-02 7.26148124e-01 1.57463861e-01 7.94659602e+00 5.55179413e+00 8.13717644e-02 1.11029389e-01 6.27695223e+00 1.95918443e-01 4.55838816e-02 4.99486261e+00 6.46496314e+01 2.18077068e-07 1.34539790e-05 2.39790875e-08 3.29032524e-06 2.60230208e-03 3.08114231e-07 3.78663316e-06 2.98585753e-08 6.20289757e-05 1.18643294e-05 2.48548109e-05 1.13596361e-06 5.34755673e-06 1.65522464e-07 9.53616722e-08 6.67483705e-06 5.92576682e-01 7.34180602e-06
gen1754perm84 1.0573157583610313 9.14932771e-02 2.42374146e-02 8.66787860e-02 1.98170439e+00 2.08789221e-02 3.98499113e-03 2.04797405e+00 1.33398277e-02 7.26148124e-01 1.65652391e-01 7.94659602e+00 4.91248751e+00 7.75749812e-02 1.16786227e-01 6.81489391e+00 1.95918443e-01 4.60647513e-02 4.99486261e+00 6.48704794e+01 2.46248137e-07 1.34539790e-05 2.39790875e-08 3.29032524e-06 2.60230208e-03 3.08114231e-07 4.09152699e-06 2.94104549e-08 5.22771240e-05 1.18643294e-05 2.51304703e-05 1.40342830e-06 4.92504393e-06 1.70062153e-07 9.51591854e-08 6.73733914e-06 5.92576682e-01 6.51497461e-06
gen1754perm24 1.0573387127740435 9.14932771e-02 2.35885194e-02 8.66787860e-02 1.98170439e+00 1.82481803e-02 5.37999473e-03 2.14782172e+00 1.27124249e-02 6.02577845e-01 1.91615150e-01 7.97465587e+00 4.48761607e+00 7.75749812e-02 9.27576777e-02 6.07937152e+00 1.93797260e-01 4.60647513e-02 4.99486261e+00 6.89994571e+01 2.18077068e-07 1.34539790e-05 2.39790875e-08 3.29032524e-06 2.64594082e-03 3.90277917e-07 4.07689555e-06 2.89683415e-08 5.92459712e-05 1.18643294e-05 2.44220017e-05 1.71857611e-06 4.92504393e-06 1.73296336e-07 9.53616722e-08 6.73733914e-06 5.92576682e-01 6.92575942e-06
gen1754perm117 1.0574120873618946 9.14932771e-02 2.41823437e-02 8.66787860e-02 1.98170439e+00 2.00401633e-02 5.06241925e-03 2.41514739e+00 1.21576328e-02 7.29980263e-01 1.60981459e-01 7.97465587e+00 4.95776859e+00 7.75749812e-02 1.16786227e-01 6.88643329e+00 1.98110093e-01 4.60647513e-02 4.99486261e+00 6.33348239e+01 2.18077068e-07 1.34539790e-05 2.39790875e-08 3.35485873e-06 2.60230208e-03 3.12079434e-07 4.07689555e-06 2.89683415e-08 5.62435514e-05 1.18643294e-05 3.20341053e-05 1.65435321e-06 5.41312259e-06 1.65522464e-07 8.74658656e-08 6.73733914e-06 5.92576682e-01 7.45160834e-06
gen1754perm81 1.0574253906708346 9.14932771e-02 2.42374146e-02 8.62088769e-02 1.98170439e+00 1.75089789e-02 4.66742167e-03 2.04797405e+00 1.01212891e-02 7.26148124e-01 1.51518199e-01 7.79692475e+00 6.13017942e+00 9.01467845e-02 9.43581859e-02 7.81952343e+00 1.95470820e-01 4.60647513e-02 4.99486261e+00 6.63154474e+01 2.37990310e-07 1.34149367e-05 2.39790875e-08 3.29032524e-06 2.64594082e-03 3.08114231e-07 3.78663316e-06 2.90703810e-08 5.65030658e-05 1.18643294e-05 3.29070637e-05 1.20341408e-06 4.51844573e-06 1.52232208e-07 6.06481345e-08 6.73733914e-06 5.92576682e-01 6.92575942e-06
gen1754perm47 1.0574402344701945 9.14932771e-02 2.40567496e-02 8.62088769e-02 1.98170439e+00 2.10216035e-02 3.63350977e-03 2.04797405e+00 1.04386311e-02 7.34798936e-01 1.59849309e-01 7.97465587e+00 4.56173739e+00 7.75749812e-02 1.16786227e-01 7.54516279e+00 1.80431147e-01 4.60647513e-02 4.99486261e+00 6.89994571e+01 2.11094606e-07 1.36106125e-05 2.36239703e-08 3.27971601e-06 2.64594082e-03 3.10790196e-07 4.07689555e-06 2.72634124e-08 5.92459712e-05 1.18643294e-05 2.23804057e-05 1.31585135e-06 5.30566680e-06 1.76390634e-07 8.74658656e-08 6.73733914e-06 5.92576682e-01 7.34730080e-06
