Permutation Chi-Sq km10__FREE km11__FREE km12__FREE km13__FREE km14__FREE km15__FREE km16__FREE km17__FREE km18__FREE km19__FREE km1__FREE km20__FREE km21__FREE km22__FREE km23__FREE km24__FREE km2__FREE km3__FREE km9__FREE kp10__FREE kp11__FREE kp12__FREE kp13__FREE kp14__FREE kp15__FREE kp17__FREE kp18__FREE kp19__FREE kp1__FREE kp20__FREE kp21__FREE kp22__FREE kp23__FREE kp24__FREE kp2__FREE kp3__FREE kp9__FREE
gen1390perm107 0.2775018180392081 3.36857965e-02 4.21626482e-02 1.34946186e-01 4.62007895e+01 8.58710940e+01 1.24709344e-03 4.97079438e-04 1.14910744e-02 1.76451110e-03 2.04110354e+00 2.59844089e-02 1.23350706e+00 1.02120790e-02 1.53178215e-01 1.34929133e-02 1.61040364e-01 2.43381416e-01 1.15625123e+00 3.76907878e+00 2.23423039e-08 3.42108755e-06 2.92409276e-04 4.89370133e-05 5.12244957e+01 1.76069017e-08 4.41681197e-07 3.55284658e-09 4.21547965e-05 7.34434498e-05 4.04165676e-07 3.70283569e-06 2.43426729e-08 4.11464813e-06 4.82068798e-03 1.34089350e-05 1.50782005e-01 2.11940515e-08
gen1390perm28 0.2797585250283496 3.35660421e-02 4.21626482e-02 1.34946186e-01 4.42723021e+01 7.89325352e+01 1.13373981e-03 5.18743979e-04 1.24917202e-02 2.04035276e-03 2.04110354e+00 2.79978369e-02 1.23350706e+00 1.02023825e-02 1.57715216e-01 1.34929133e-02 1.38610312e-01 2.43381416e-01 1.15625123e+00 3.90527533e+00 1.90000392e-08 3.42108755e-06 2.94804620e-04 5.00994199e-05 4.75866396e+01 2.19450549e-08 4.41681197e-07 3.31481988e-09 4.09368064e-05 7.09066444e-05 4.85711056e-07 3.56739720e-06 2.42730200e-08 3.87135953e-06 5.21071143e-03 1.24695717e-05 1.51225358e-01 1.46043108e-08
gen1390perm144 0.2798269205560827 3.04618009e-02 4.21626482e-02 1.23993610e-01 4.26953314e+01 8.57885586e+01 1.37804889e-03 5.55800905e-04 1.13360780e-02 2.21970331e-03 2.17426867e+00 2.59844089e-02 1.23350706e+00 1.02023825e-02 1.53178215e-01 1.23710241e-02 1.51854957e-01 2.37028452e-01 1.17221815e+00 3.14820779e+00 1.75002975e-08 3.33172633e-06 2.75441788e-04 5.28678763e-05 4.75866396e+01 1.94667745e-08 3.99728070e-07 3.10898742e-09 4.62796729e-05 6.93052087e-05 4.24248375e-07 3.44220687e-06 2.46594667e-08 3.88678593e-06 4.97312164e-03 1.29203555e-05 1.50782005e-01 1.77932015e-08
gen1390perm123 0.2799726914973038 3.42932840e-02 4.14637071e-02 1.34946186e-01 4.62007895e+01 8.51706430e+01 1.23624799e-03 5.46753903e-04 1.14910744e-02 1.86159264e-03 2.04110354e+00 2.69919854e-02 1.23350706e+00 1.02074125e-02 1.46724260e-01 1.34929133e-02 1.61040364e-01 2.43381416e-01 1.15625123e+00 3.54283409e+00 2.23423039e-08 3.32975788e-06 3.17257387e-04 4.89370133e-05 5.19813058e+01 2.08833588e-08 4.41681197e-07 3.31481988e-09 4.21547965e-05 7.09853455e-05 4.01878990e-07 3.05871961e-06 2.43426729e-08 3.62587493e-06 4.82068798e-03 1.30666672e-05 1.50782005e-01 2.11940515e-08
gen1390perm94 0.2802877621896918 3.42932840e-02 4.21626482e-02 1.23993610e-01 4.64075970e+01 7.32654065e+01 1.23624799e-03 4.59392610e-04 1.20361622e-02 2.36288647e-03 2.02441262e+00 2.79978369e-02 1.23350706e+00 1.02465863e-02 1.53178215e-01 1.38911037e-02 1.62649717e-01 2.53124475e-01 1.15625123e+00 3.27403305e+00 1.90000392e-08 3.81574587e-06 2.94804620e-04 4.95773671e-05 5.44745595e+01 2.15040707e-08 4.41681197e-07 3.28419202e-09 4.21547965e-05 6.45854379e-05 4.54119449e-07 3.46868681e-06 2.19823069e-08 3.99996992e-06 5.21589042e-03 1.34116500e-05 1.51225358e-01 1.47035470e-08
gen1390perm42 0.2806707153627834 3.62585693e-02 4.00489660e-02 1.35831383e-01 4.42723021e+01 7.65928477e+01 1.23624799e-03 4.77409914e-04 1.00193403e-02 2.16477962e-03 2.34049498e+00 2.76086887e-02 1.25228742e+00 1.06228529e-02 1.68461379e-01 1.42661864e-02 1.38335832e-01 2.43381416e-01 1.17221815e+00 3.70733777e+00 1.95434663e-08 3.21888881e-06 2.79697173e-04 5.00156520e-05 5.15912206e+01 1.96143026e-08 4.26716880e-07 3.58870169e-09 3.81194224e-05 7.38951176e-05 4.49023833e-07 3.02534713e-06 2.36347248e-08 3.96340887e-06 4.09932960e-03 1.32420314e-05 1.51225358e-01 1.43357891e-08
gen1390perm114 0.2808327104221108 3.42932840e-02 4.21626482e-02 1.16433745e-01 4.42723021e+01 7.32866762e+01 1.24709344e-03 4.59392610e-04 1.18934535e-02 2.02585168e-03 2.04110354e+00 2.59844089e-02 1.23350706e+00 1.03278013e-02 1.53178215e-01 1.29847956e-02 1.51854957e-01 2.43381416e-01 1.17053473e+00 3.43092810e+00 1.72173214e-08 3.33172633e-06 3.14029788e-04 4.89370133e-05 4.75866396e+01 2.17614143e-08 4.54560341e-07 3.58870169e-09 4.21547965e-05 7.13342564e-05 4.49023833e-07 3.44220687e-06 2.47931091e-08 4.31037712e-06 4.09932960e-03 1.39077439e-05 1.50782005e-01 1.27968830e-08
gen1390perm63 0.2809088738775979 3.42932840e-02 4.21626482e-02 1.34946186e-01 4.51373698e+01 7.02596080e+01 1.28168424e-03 4.36725147e-04 1.29938560e-02 1.97605723e-03 2.19815146e+00 2.79978369e-02 1.25048630e+00 1.07988465e-02 1.68461379e-01 1.45395105e-02 1.70710780e-01 2.53124475e-01 1.15064741e+00 3.32622148e+00 1.78820810e-08 3.19387040e-06 2.86075944e-04 4.95773671e-05 4.75866396e+01 2.17614143e-08 4.41681197e-07 3.09418731e-09 3.63928971e-05 7.13342564e-05 4.54119449e-07 3.44220687e-06 2.24960912e-08 3.99996992e-06 4.82068798e-03 1.33722083e-05 1.50782005e-01 1.87448860e-08
gen1390perm75 0.2814510400031706 3.41708194e-02 4.20420278e-02 1.34946186e-01 4.42723021e+01 7.32654065e+01 1.23624799e-03 5.55800905e-04 1.13360780e-02 2.29944848e-03 2.04110354e+00 2.79978369e-02 1.23350706e+00 1.02023825e-02 1.53178215e-01 1.50685144e-02 1.39935737e-01 2.36479825e-01 1.15625123e+00 3.35714438e+00 1.89382885e-08 3.33172633e-06 2.94804620e-04 4.95773671e-05 4.75866396e+01 2.05342704e-08 4.41681197e-07 3.28419202e-09 4.21547965e-05 6.28249963e-05 4.01878990e-07 3.44220687e-06 2.24960912e-08 3.99996992e-06 4.50179435e-03 1.33722083e-05 1.51225358e-01 1.46043108e-08
gen1390perm4 0.2823431328831135 3.46384464e-02 4.21626482e-02 1.34946186e-01 4.23628502e+01 7.57247063e+01 1.23624799e-03 4.56272446e-04 1.13360780e-02 2.36288647e-03 2.26198012e+00 2.76086887e-02 1.27419293e+00 1.06228529e-02 1.53178215e-01 1.34929133e-02 1.51854957e-01 2.50327942e-01 1.17221815e+00 3.35714438e+00 1.72396581e-08 3.44069917e-06 2.94804620e-04 5.00994199e-05 4.75866396e+01 2.17614143e-08 4.41681197e-07 3.35535270e-09 4.62732452e-05 7.13342564e-05 4.49023833e-07 3.58262279e-06 2.42730200e-08 3.96340887e-06 4.50179435e-03 1.30358109e-05 1.51225358e-01 1.46043108e-08
gen1390perm54 0.2824638772956392 3.42932840e-02 3.82991341e-02 1.16433745e-01 4.42723021e+01 7.74175053e+01 1.26279721e-03 4.59392610e-04 1.13360780e-02 2.19885227e-03 2.04110354e+00 2.59844089e-02 1.23350706e+00 1.02074125e-02 1.53178215e-01 1.29847956e-02 1.51854957e-01 2.50327942e-01 1.15625123e+00 3.35714438e+00 1.72396581e-08 3.33172633e-06 2.94804620e-04 4.89370133e-05 4.75866396e+01 2.17614143e-08 4.66693292e-07 3.35771907e-09 4.21547965e-05 7.13342564e-05 4.01878990e-07 3.58262279e-06 2.43426729e-08 3.88678593e-06 4.84906516e-03 1.30358109e-05 1.51225358e-01 1.53327783e-08
gen1390perm40 0.2828411896475981 3.46384464e-02 4.13060297e-02 1.34946186e-01 4.42723021e+01 7.48832327e+01 1.28409070e-03 5.26572328e-04 1.14397353e-02 1.76451110e-03 2.20551000e+00 2.81654852e-02 1.27419293e+00 1.02465863e-02 1.68461379e-01 1.34929133e-02 1.39782876e-01 2.43381416e-01 1.15657241e+00 4.03134490e+00 1.84696270e-08 3.42108755e-06 3.18341850e-04 4.95773671e-05 4.75866396e+01 2.29417820e-08 3.95873722e-07 3.31481988e-09 3.81194224e-05 7.69704392e-05 3.76842554e-07 3.44220687e-06 2.47799512e-08 3.96340887e-06 4.32773966e-03 1.30358109e-05 1.51225358e-01 2.29117182e-08
gen1390perm1 0.2840911605123002 3.41708194e-02 4.21626482e-02 9.84333259e-02 4.36175439e+01 7.10238640e+01 1.15711774e-03 5.17746387e-04 1.22071300e-02 2.09915893e-03 2.21799762e+00 3.02505092e-02 1.23350706e+00 1.07988465e-02 1.53178215e-01 1.34929133e-02 1.51854957e-01 2.34748718e-01 1.15625123e+00 3.14820779e+00 2.03316009e-08 3.33172633e-06 2.67046491e-04 4.95773671e-05 4.88224295e+01 2.23252198e-08 3.98808300e-07 2.86521780e-09 4.21547965e-05 6.44658559e-05 3.82041109e-07 3.30356731e-06 2.19190452e-08 3.88678593e-06 5.50261262e-03 1.33722083e-05 1.50782005e-01 1.77932015e-08
gen1390perm55 0.2844295286649191 3.66105441e-02 4.21626482e-02 1.27382512e-01 4.62007895e+01 7.65928477e+01 1.24709344e-03 4.35676896e-04 1.14910744e-02 1.76451110e-03 2.04110354e+00 2.69919854e-02 1.27419293e+00 1.02074125e-02 1.53178215e-01 1.36210389e-02 1.61040364e-01 2.43381416e-01 1.15625123e+00 3.23548567e+00 2.23423039e-08 3.64597461e-06 3.17257387e-04 4.95773671e-05 5.19813058e+01 2.11581131e-08 4.41681197e-07 3.02572262e-09 3.81194224e-05 7.09853455e-05 4.49023833e-07 3.10310472e-06 2.49159777e-08 3.80370842e-06 4.09932960e-03 1.34089350e-05 1.50782005e-01 1.43925121e-08
